西方哲学流派及其反思,MARX026614
GIS应用系统课程设计,9990653
企业实习和专业实践,9990666
英美文学作品选读,05020000
客户关系管理,0673048
城乡规划概论,0981003
思想政治教育导论,MARX022614
图像处理软件应用,SoAD022512
山岭隧道,0173053
计算机联锁实验,3273348
保险精算数学,1273024
人机交互技术实验,0474019
项目融资,0673102
控制测量与平差实习,9990472
翻译实践实习,9990518
舞蹈形体训练,SHUM023515
材料科学基础实验方法Ⅰ,1073022
巴蜀建筑与文化,SoAD027514
微波理论与技术实验,3143372
人因学,2051020
英语语言技能实践,SoFL009713
电气工程概论,0383016
环境心理学,7046750
铁路选线与设计,0571002
管理学原理,0671051
模拟电子技术,3122200
电力电子技术（含实验）,3273488
数学软件与实践,MATH009213
消防安全工程,0573025
运输会计基础,3273452
税法,0671060
空间数据工程实习,9990651
测控系统设计与应用,3273146
材料焊接性,1081007
德语视听说AIV,0871123
毕业设计（论文）-翻译,2673046
微纳先进制造前沿,MECE003814
辩论与论辩,SHUM022814
明挖法地下空间工程,3273388
公共经济学,2673031
管理信息系统,0673054
地质测绘实习,9990011
岩石学,2173053
理论力学B,MECH000412
微波测量与天线测量,3143376
粉末冶金原理,1083003
法语中级口语交际II,8048532
实验设计与数据处理,1081054
毕业论文,0871054
计算机模拟,3243000
基础会计学,2671019
中国传统文学经典作品选读II,0871305
刑事侦查学（1+1）,0773021
德语二外Ⅰ,SoFL032615
现代营养与保健,SLSE016915
民事诉讼法学,0773013
课外创新实践,9991999
声乐主修6,2571161
翻译平台实训,3272010
德国文学史,3273561
货物运输组织,3273864
计量经济学,5049540
竞赛类英语阅读,SoFL010515
综合英语CⅡ,SoFL024111
毕业设计（论文）,0773043
电磁悬浮与线性驱动（含实验）,3273648
交际与礼仪,2583013
毕业论文（创业学）,9993008
认识实习(生物医学工程),MASE015113
数值计算,MATH002312
铁路车站及枢纽课程设计,3273003
宏观经济学,3271016
组织行为学（双语）,5050335
建筑表现,0981006
美术IV,3273024
心理学研究方法,6771007
信息系统项目管理课程设计,0673131
数据结构C,SIST014012
有机化学,SLSE013412
中国建筑概览,SoAD027114
数据库原理与应用（含实验）,0371041
数字图像处理,1383011
视唱练耳Ⅳ,7046900
电机拖动基础（含实验）,3273077
管理智慧与精彩人生,SoEM016214
日语会话Ⅲ,0871161
结构力学AⅡ-A,0173015
交通土建工程导论,CIVE015414
商务智能系统,0673117
固体物理,08020090
数字电子技术实验,3132100
空间设计基础与建筑制图,13040011
交通运输统计,0571046
毕业设计（论文）-车辆,0273114
公司法,7047550
钢琴副修4,2571179
英语Ⅳ(地学RSGI),0871279
认知实习,SPAL004913
计量经济软件实习,0671064
电磁场与电磁波B,3143399
大学生爱情心理学,CPRC006415
艺术类学生职业生涯规划,13020008
水污染控制工程I,2173094
理论力学AⅡ,6321920
工程制图,2173056
机械设计课程设计,0281021
毕业设计（论文）-物流工程,0573054
英语Ⅳ(艺术类),0871179
中国世界遗产漫步,FGEE022115
专业实习,9990098
机械制图综合实践,0281022
心理咨询技能训练,6773042
